Plot,Predicted_Abundance
1,4.06902422884354
2,3.94124875641557
3,4.39451769699414
5,4.2487120978294
7,4.28431638399441
8,3.67870288572223
9,4.63577412863472
10,4.48229055788218
11,4.39986189266427
14,4.2348690262989
15,5.18932994056153
16,4.3349622187307
17,4.32369839913526
18,4.51836274323207
19,4.75092171500894
20,4.27306856020744
21,4.37362678890271
22,3.86688924325168
28,4.40313205677204
30,4.08396450374174
31,4.58099309862916
33,5.06589562253365
34,3.81038013631392
35,4.91471092252881
36,4.39127654617817
37,5.01516241165334
38,4.05663468376676
39,4.20962062074551
44,4.07247884798197
45,4.28401269460689
46,4.13515275121697
47,4.34559882610855
48,4.62893900662474
50,4.34059763963755
53,4.64174818773796
54,3.8782190818269
55,4.46850595461264
56,4.55625548487704
57,4.3411562483852
58,3.96387153762244
59,4.06118534549219
60,5.14699371085984
61,4.80267975765244
63,4.56742590686585
64,4.54096899549028
65,4.7808249671061
66,4.3317144213165
67,4.2634843473876
68,4.71697842806841
69,4.43532555626157
71,3.92656755486553
72,4.77140654103928
73,4.87076472562076
75,4.7386740104827
76,4.94852517610782
77,3.76755773746052
78,4.92772526993247
79,4.89700493807974
83,4.42040037292618
84,4.42298502859544
85,3.99545298220053
86,4.4629382811305
87,4.46538356932033
89,5.1301904030942
91,4.59577162362178
93,4.39697181994289
94,4.39281922764474
96,4.36598125851646
98,4.10517563139136
101,4.51818948570703
102,4.28619140872809
103,3.9990727641819
104,5.01221016551672
105,4.19466154285576
106,4.41958887172218
107,4.21297480179753
108,4.45775074166232
109,4.64573778092405
110,4.00864022532158
111,4.07977077025284
113,3.660867406818
114,4.29048484343191
117,4.17722048688818
118,4.32738948082609
119,4.78891524110168
121,4.8888569468374
122,4.33918577334658
123,4.04449442876496
124,4.20908559545802
125,4.19636187890021
127,4.33790194833978
128,4.45201954225264
129,4.6136673510022
130,4.13169252126728
131,4.1884839884328
132,4.37479037889398
133,4.39564683184071
134,4.1289994841087
135,3.90249785579626
136,4.99364909796712
137,4.99485447100803
138,4.64825476581602
140,4.1351000338802
141,4.35125607725351
148,4.34423172516418
151,4.12621227292762
152,3.98263731066558
153,4.69866207324093
156,4.26614715462779
159,4.40888943025855
160,4.40682873251462
161,4.22718532152731
162,3.8621243983873
163,4.14667905555468
164,4.0559618953126
165,4.20265643280846
167,3.82101272700071
168,4.12877804541413
171,4.11028145462282
172,4.20815086986293
173,4.38952645759732
176,4.31018516191751
177,3.84742850105218
178,4.30182504324549
179,4.09238704742756
180,4.32990481317486
181,4.11608125816828
182,4.81254960342729
183,4.40270436508718
184,4.24752295977226
185,4.12144781467416
186,4.30396555667678
187,4.58803597514077
188,4.65101618925932
