Plot,Predicted_Abundance
1,52.8973149749661
2,67.0012288590647
3,109.862942424853
5,93.4716661522469
7,214.21581919972
8,14.7148115428889
9,69.5366119295208
10,26.8937433472931
11,228.792818418542
14,50.8184283155868
15,124.543918573477
16,60.6894710622297
17,177.271634364546
18,121.995794067266
19,85.516590870161
20,183.74194808892
21,78.7252822002488
22,81.2046741082853
28,88.0626411354408
30,81.6792900748348
31,128.267806761616
33,212.767616146413
34,133.363304770987
35,54.0618201478169
36,118.56446674681
37,35.1061368815734
38,101.415867094169
39,33.6769649659641
44,93.6670135035854
45,184.212545868096
46,99.2436660292072
47,117.331168304931
48,64.8051460927463
50,78.130757513476
53,111.401956505711
54,85.3208198001917
55,49.1535655007391
56,141.243920031188
57,95.5054374644744
58,79.2774307524488
59,162.447413819687
60,149.262817614935
61,96.0535951530489
63,82.2136663235853
64,154.392945846669
65,119.520624177652
66,173.26857685266
67,136.431499116403
68,183.962158694668
69,93.1418366814929
71,78.5313510973106
72,119.285163525982
73,87.6737650611737
75,189.546960419308
76,128.661654578803
77,82.8862702241314
78,49.2772526993247
79,53.8670543188771
83,159.134413425343
84,123.843580800672
85,155.822666305821
86,102.647580466002
87,205.407644188735
89,112.864188868073
91,128.68160546141
93,114.321267318515
94,228.426599837527
96,96.0515876873622
98,49.2621075766963
101,131.027495085504
102,180.02003916658
103,107.974964632911
104,110.268623641368
105,75.5039077714037
106,123.748488408221
107,231.713614098864
108,138.190272991532
109,162.600822332342
110,100.21600563304
111,183.589684661378
113,215.991177002262
114,68.6477574949106
117,242.278788239515
118,69.2382316932175
119,124.511796268644
121,180.887707032984
122,169.228245160517
123,88.9788774328292
124,79.9726263137024
125,83.9272375780041
127,117.123352605174
128,84.5883713028002
129,83.0460123180396
130,144.609238244355
131,75.3927117917904
132,139.993292124607
133,87.9129366368142
134,144.514981943805
135,109.269939962295
136,129.834876547145
137,44.9536902390722
138,41.8342928923442
140,107.512600880885
141,69.6200972360562
148,86.8846345032836
151,140.291217279539
152,71.6874715919805
153,75.1785931718549
156,98.1213845564391
159,57.3155625933611
160,83.7297459177779
161,71.8621504659642
162,127.450105146781
163,91.226939222203
164,137.902704440628
165,117.674380118637
167,129.914432718024
168,111.477007226181
171,226.065480004255
172,252.489052191776
173,144.854373100712
176,77.5833329145153
177,92.3382840252524
178,51.6219005189459
179,94.124902090834
180,125.567239582071
181,152.295006552226
182,67.375694447982
183,167.302765873313
184,114.683119913851
185,53.5788215907641
186,38.735690010091
187,96.3487554779561
188,111.624388542224
